magic,pos_id,session,symbol,direction,volume,open_time_utc,open_hour_utc,close_time_utc,open_price,close_price,profit,dst_state,ny_intended_setting
28260331.0,961697298,ASIA,XAUUSD+,BUY,0.05,2026-03-11 04:26:00,4,2026-03-11 04:26:08,5212.19,5212.9,3.55,US_EDT_Only,17-21
28260321.0,961727641,ASIA,XAUUSD+,SELL,0.05,2026-03-11 04:34:00,4,2026-03-11 04:37:01,5217.5,5216.62,4.4,US_EDT_Only,17-21
28260331.0,961732513,ASIA,XAUUSD+,SELL,0.05,2026-03-11 04:35:00,4,2026-03-11 04:35:00,5219.89,5218.96,4.65,US_EDT_Only,17-21
28260331.0,961756437,ASIA,XAUUSD+,BUY,0.05,2026-03-11 04:41:00,4,2026-03-11 04:45:02,5215.0,5215.52,2.6,US_EDT_Only,17-21
28260321.0,961756438,ASIA,XAUUSD+,BUY,0.05,2026-03-11 04:41:00,4,2026-03-11 04:45:02,5215.0,5215.52,2.6,US_EDT_Only,17-21
28260311.0,961764204,ASIA,XAUUSD+,BUY,0.05,2026-03-11 04:44:00,4,2026-03-11 04:44:54,5214.2,5215.0,4.0,US_EDT_Only,17-21
28260311.0,961778065,ASIA,XAUUSD+,SELL,0.05,2026-03-11 04:48:00,4,2026-03-11 04:48:44,5216.71,5215.98,3.65,US_EDT_Only,17-21
28260303.0,961825306,NY,XAUUSD+,BUY,0.01,2026-03-11 05:00:00,5,2026-03-11 05:00:04,5209.35,5209.61,0.26,US_EDT_Only,17-21
28260302.0,961825307,LONDON,XAUUSD+,BUY,0.01,2026-03-11 05:00:00,5,2026-03-11 05:00:04,5209.35,5209.61,0.26,US_EDT_Only,17-21
28260302.0,961824493,LONDON,XAUUSD+,BUY,0.01,2026-03-11 05:00:00,5,2026-03-11 05:00:00,5208.73,5209.12,0.39,US_EDT_Only,17-21
28260303.0,961824494,NY,XAUUSD+,BUY,0.01,2026-03-11 05:00:00,5,2026-03-11 05:00:00,5208.73,5209.12,0.39,US_EDT_Only,17-21
28260303.0,961825909,NY,XAUUSD+,BUY,0.01,2026-03-11 05:00:05,5,2026-03-11 05:00:35,5209.71,5207.57,-2.14,US_EDT_Only,17-21
28260302.0,961825910,LONDON,XAUUSD+,BUY,0.01,2026-03-11 05:00:05,5,2026-03-11 05:00:35,5209.71,5207.57,-2.14,US_EDT_Only,17-21
28260302.0,961828928,LONDON,XAUUSD+,BUY,0.01,2026-03-11 05:00:35,5,2026-03-11 05:00:39,5207.54,5207.77,0.23,US_EDT_Only,17-21
28260303.0,961828929,NY,XAUUSD+,BUY,0.01,2026-03-11 05:00:35,5,2026-03-11 05:00:39,5207.54,5207.77,0.23,US_EDT_Only,17-21
28260302.0,961829645,LONDON,XAUUSD+,BUY,0.01,2026-03-11 05:00:39,5,2026-03-11 05:00:40,5207.92,5208.15,0.23,US_EDT_Only,17-21
28260303.0,961829646,NY,XAUUSD+,BUY,0.01,2026-03-11 05:00:39,5,2026-03-11 05:00:40,5207.92,5208.15,0.23,US_EDT_Only,17-21
28260303.0,961829794,NY,XAUUSD+,BUY,0.01,2026-03-11 05:00:40,5,2026-03-11 05:00:54,5208.33,5206.22,-2.11,US_EDT_Only,17-21
28260302.0,961829793,LONDON,XAUUSD+,BUY,0.01,2026-03-11 05:00:40,5,2026-03-11 05:00:54,5208.33,5206.22,-2.11,US_EDT_Only,17-21
28260303.0,961832205,NY,XAUUSD+,BUY,0.01,2026-03-11 05:00:54,5,2026-03-11 05:00:56,5206.26,5206.53,0.27,US_EDT_Only,17-21
28260302.0,961832204,LONDON,XAUUSD+,BUY,0.01,2026-03-11 05:00:54,5,2026-03-11 05:00:56,5206.26,5206.35,0.09,US_EDT_Only,17-21
28260302.0,961832622,LONDON,XAUUSD+,BUY,0.01,2026-03-11 05:00:56,5,2026-03-11 05:00:57,5206.52,5206.77,0.25,US_EDT_Only,17-21
28260303.0,961832660,NY,XAUUSD+,BUY,0.01,2026-03-11 05:00:56,5,2026-03-11 05:00:57,5206.67,5207.01,0.34,US_EDT_Only,17-21
28260302.0,961832775,LONDON,XAUUSD+,BUY,0.01,2026-03-11 05:00:57,5,2026-03-11 05:00:58,5207.11,5207.14,0.03,US_EDT_Only,17-21
28260303.0,961832838,NY,XAUUSD+,BUY,0.01,2026-03-11 05:00:57,5,2026-03-11 05:01:10,5207.34,5205.17,-2.17,US_EDT_Only,17-21
