tp,cutoff,tp_hits,losses,total,win_rate,sim_pnl,vs_actual
250,20,48,14,62,77.41935483870968,118.36309999999999,103.50309999999999
250,30,48,14,62,77.41935483870968,117.94970000000002,103.08970000000002
260,5,32,22,62,64.51612903225806,82.39639999999999,67.53639999999999
260,10,42,17,62,72.58064516129032,107.62909999999994,92.76909999999994
260,15,47,14,62,77.41935483870968,120.5078999999999,105.64789999999991
260,20,48,14,62,77.41935483870968,123.16309999999989,108.30309999999989
260,30,48,14,62,77.41935483870968,122.7496999999999,107.8896999999999
270,5,31,23,62,62.903225806451616,82.87500000000004,68.01500000000004
270,10,41,18,62,70.96774193548387,109.07480000000008,94.21480000000008
270,15,45,16,62,74.19354838709677,119.75380000000008,104.89380000000008
270,20,46,16,62,74.19354838709677,122.51880000000007,107.65880000000007
270,30,46,16,62,74.19354838709677,122.0068000000001,107.1468000000001
280,5,29,25,62,59.67741935483871,80.36199999999995,65.50199999999995
280,10,40,19,62,69.35483870967742,110.35179999999995,95.49179999999996
280,15,44,16,62,74.19354838709677,121.45699999999992,106.59699999999992
280,20,46,16,62,74.19354838709677,127.1187999999999,112.2587999999999
280,30,46,16,62,74.19354838709677,126.60679999999992,111.74679999999992
290,5,28,26,62,58.06451612903226,80.35150000000002,65.49150000000002
290,10,37,22,62,64.51612903225806,105.53230000000008,90.67230000000008
290,15,41,19,62,69.35483870967742,116.9980000000001,102.1380000000001
290,20,43,19,62,69.35483870967742,122.76260000000008,107.90260000000008
290,30,43,19,62,69.35483870967742,121.9191000000001,107.0591000000001
300,5,27,26,62,58.06451612903226,80.1649,65.3049
300,10,37,22,62,64.51612903225806,109.23230000000002,94.37230000000002
300,15,41,19,62,69.35483870967742,121.09800000000001,106.23800000000001
300,20,43,19,62,69.35483870967742,127.06259999999997,112.20259999999998
300,30,43,19,62,69.35483870967742,126.21910000000001,111.35910000000001
