tp,cutoff,tp_hits,misses,win_rate,avg_miss_pnl,total_pnl
220,2,20,42,54.83870967741935,-0.007695238095237594,43.67680000000004
220,3,30,32,64.51612903225806,-0.014237499999999273,65.54440000000005
220,5,37,25,66.12903225806451,-0.030963999999999204,80.62590000000007
220,10,46,16,77.41935483870968,-0.07675624999999911,99.9719000000001
220,15,50,12,82.25806451612904,-0.11879999999999806,108.57440000000011
220,20,51,11,82.25806451612904,-0.12411818181818157,110.8347000000001
220,30,51,11,82.25806451612904,-0.13957272727272782,110.66470000000007
230,2,19,43,53.2258064516129,-0.007958139534883358,43.35780000000002
230,3,29,33,62.903225806451616,-0.014224242424241753,66.23059999999998
230,5,36,26,64.51612903225806,-0.03355769230769161,81.92749999999997
230,10,45,17,75.80645161290323,-0.07704705882352861,102.19019999999993
230,15,49,13,80.64516129032258,-0.11766923076922886,111.17029999999994
230,20,50,12,80.64516129032258,-0.12456666666666631,113.50519999999992
230,30,50,12,80.64516129032258,-0.13770000000000057,113.34759999999989
240,2,17,45,53.2258064516129,-0.007124444444444129,40.479400000000005
240,3,26,36,61.29032258064516,-0.012133333333332908,61.963199999999986
240,5,33,29,61.29032258064516,-0.03004827586206876,78.32860000000002
240,10,45,17,75.80645161290323,-0.07704705882352861,106.69020000000009
240,15,49,13,80.64516129032258,-0.11766923076922886,116.07030000000012
240,20,50,12,80.64516129032258,-0.12456666666666631,118.5052000000001
240,30,50,12,80.64516129032258,-0.13770000000000057,118.34760000000007
250,2,16,46,53.2258064516129,-0.00645652173913,39.703000000000024
250,3,25,37,61.29032258064516,-0.011297297297296855,62.08200000000001
250,5,32,30,59.67741935483871,-0.029116666666666482,79.12650000000001
250,10,42,20,72.58064516129032,-0.06807999999999992,103.63840000000002
250,15,47,15,77.41935483870968,-0.11184666666666573,115.82230000000001
250,20,48,14,77.41935483870968,-0.11944285714285667,118.32780000000001
250,30,48,14,77.41935483870968,-0.1458000000000012,117.95879999999997
260,2,15,47,53.2258064516129,-0.006027659574467681,38.71670000000003
260,3,24,38,59.67741935483871,-0.0116605263157891,61.95690000000003
260,5,30,32,58.06451612903226,-0.028656249999999935,77.083
260,10,40,22,70.96774193548387,-0.06532272727272727,102.56289999999994
260,15,46,16,75.80645161290323,-0.10688749999999914,117.88979999999992
260,20,47,15,75.80645161290323,-0.11283333333333273,120.50749999999992
260,30,47,15,75.80645161290323,-0.13842000000000126,120.12369999999987
270,2,15,47,53.2258064516129,-0.006027659574467681,40.21670000000003
270,3,24,38,59.67741935483871,-0.0116605263157891,64.35690000000004
270,5,30,32,58.06451612903226,-0.028656249999999935,80.08300000000004
270,10,40,22,70.96774193548387,-0.06532272727272727,106.56290000000008
270,15,44,18,74.19354838709677,-0.0942944444444437,117.10270000000011
270,20,46,16,74.19354838709677,-0.10613124999999912,122.5019000000001
270,30,46,16,74.19354838709677,-0.1350250000000011,122.03960000000005
280,2,13,49,53.2258064516129,-0.004940816326530062,36.15790000000003
280,3,22,40,59.67741935483871,-0.0101124999999995,61.19549999999999
280,5,28,34,58.06451612903226,-0.026735294117646677,77.49099999999997
280,10,39,23,69.35483870967742,-0.06348260869565188,107.73989999999995
280,15,43,19,72.58064516129032,-0.08987368421052547,118.69239999999995
280,20,46,16,74.19354838709677,-0.10613124999999912,127.10189999999993
280,30,46,16,74.19354838709677,-0.1350250000000011,126.63959999999987
290,2,12,50,53.2258064516129,-0.0044879999999993744,34.57560000000003
290,3,20,42,59.67741935483871,-0.008711904761904149,57.6341
290,5,27,35,56.451612903225815,-0.026257142857142486,77.38100000000001
290,10,36,26,66.12903225806451,-0.0582115384615379,102.88650000000008
290,15,40,22,67.74193548387096,-0.08116818181818086,114.21430000000012
290,20,43,19,69.35483870967742,-0.10449999999999865,122.71450000000013
290,30,43,19,69.35483870967742,-0.14174736842105345,122.00680000000006
300,2,11,51,53.2258064516129,-0.00388823529411692,32.80170000000005
300,3,19,43,58.06451612903226,-0.00855581395348773,56.63210000000002
300,5,26,36,54.83870967741935,-0.025633333333333005,77.0772
300,10,36,26,66.12903225806451,-0.0582115384615379,106.48650000000002
300,15,40,22,67.74193548387096,-0.08116818181818086,118.21430000000004
300,20,43,19,69.35483870967742,-0.10449999999999865,127.01450000000003
300,30,43,19,69.35483870967742,-0.14174736842105345,126.30679999999997
