outcome,pnl_dollars,exit_time_seconds,max_mfe_dollars,max_mae_dollars,pos_id,strategy,tp_setting,time_limit,actual_pl_norm
TIME_EXIT,-0.1976499999999942,1620,0.005849999999991269,0.251850000000004,968266860,HR10,0.4,27,-0.75
TIME_EXIT,-0.15414999999999965,1620,0.031249999999990907,0.22645000000000437,968272082,HR10,0.4,27,1.7899999999999998
TIME_EXIT,-0.0075,1680,0.06904999999999746,0.026950000000006184,961157547,MH,0.4,28,0.36000000000000004
TIME_EXIT,0.015200000000004366,1680,0.07655000000000654,0.007200000000002546,961190682,MH,0.4,28,0.68
TIME_EXIT,0.06145000000000437,1680,0.07455000000000837,0.019149999999999636,961204403,MH,0.4,28,0.38000000000000006
TIME_EXIT,-0.032699999999995275,1680,0.0625,0.05124999999999091,961254178,MH,0.4,28,0.19
TIME_EXIT,-0.15639999999999418,1680,0.07684999999999491,0.16674999999999274,961291757,MH,0.4,28,0.32
TIME_EXIT,0.18780000000000655,1680,0.26284999999999853,0.02414999999999054,961328664,MH,0.4,28,0.4600000000000001
TIME_EXIT,-0.1575,1680,0.010950000000002546,0.20024999999999638,961377494,MH,0.4,28,0.53
TIME_EXIT,-0.1944499999999971,1680,0.03735000000000582,0.19945000000000618,961764204,MH,0.4,28,0.74
TIME_EXIT,0.13855000000000472,1680,0.22455000000000838,0.012250000000003638,961778065,MH,0.4,28,0.67
TIME_EXIT,-0.09784999999999855,1680,0.008599999999996727,0.14859999999999673,962007261,MH,0.4,28,0.49000000000000005
TIME_EXIT,0.12130000000000109,1680,0.17915000000000875,0.01944999999999709,967505281,MH,0.4,28,0.4800000000000001
TIME_EXIT,-0.17140000000000327,1680,0.025399999999999638,0.24579999999999927,967529084,MH,0.4,28,0.8499999999999999
TIME_EXIT,-0.07640000000000327,1680,0.02139999999999418,0.18,967759445,MH,0.4,28,0.51
TIME_EXIT,-0.11039999999999964,1680,0.004399999999995998,0.19704999999999928,968293891,MH,0.4,28,-1.2500000000000002
TIME_EXIT,-0.10105000000000473,1680,0.031199999999989816,0.17025000000000545,968304346,MH,0.4,28,1.43
TIME_EXIT,-0.00800000000000182,1680,0.026549999999997454,0.10385000000000219,968339583,MH,0.4,28,0.5199999999999999
TIME_EXIT,-0.005,1680,0.007700000000004366,0.052399999999997816,968906910,MH,0.4,28,0.69
TIME_EXIT,-0.011900000000005094,1680,0.043549999999995634,0.052450000000008004,961148508,HR05,0.4,28,0.38000000000000006
TIME_EXIT,0.03074999999999818,1680,0.08475000000000364,0.01125,961187853,HR05,0.4,28,0.52
TIME_EXIT,0.05304999999999382,1680,0.07465000000000145,0.019050000000006548,961203216,HR05,0.4,28,0.39
TIME_EXIT,-0.015900000000001455,1680,0.053499999999994545,0.051400000000003276,961247713,HR05,0.4,28,0.29000000000000004
TIME_EXIT,-0.11670000000000073,1680,0.06704999999999017,0.14585000000000037,961285727,HR05,0.4,28,0.47000000000000003
TIME_EXIT,0.17779999999999746,1680,0.25224999999999453,0.03474999999999454,961323611,HR05,0.4,28,0.31000000000000005
TIME_EXIT,-0.11944999999999709,1680,0.01280000000000655,0.20094999999999347,961372525,HR05,0.4,28,0.51
TIME_EXIT,0.02139999999999418,1680,0.09505000000000109,0.02869999999999891,961621807,HR05,0.4,28,0.62
TIME_EXIT,0.00819999999999709,1680,0.04800000000000182,0.07574999999999818,961639028,HR05,0.4,28,0.7899999999999999
TIME_EXIT,-0.015299999999997455,1680,0.049000000000005456,0.047799999999997456,961690619,HR05,0.4,28,-1.57
TIME_EXIT,0.09385000000000218,1680,0.14279999999999746,0.024700000000002546,961727641,HR05,0.4,28,0.82
TIME_EXIT,-0.1363500000000022,1680,0.029350000000004,0.1606999999999971,961756438,HR05,0.4,28,0.4600000000000001
TIME_EXIT,-0.07520000000000436,1680,0.025900000000001457,0.07809999999999491,961941537,HR05,0.4,28,0.53
TIME_EXIT,0.016049999999995634,1680,0.0743499999999949,0.04515000000000328,967466279,HR05,0.4,28,1.2399999999999998
TIME_EXIT,-0.17140000000000327,1680,0.025399999999999638,0.24579999999999927,967529085,HR05,0.4,28,0.8499999999999999
TIME_EXIT,-0.1626000000000113,1680,0.017349999999996726,0.21220000000000255,967727908,HR05,0.4,28,0.38000000000000006
TIME_EXIT,0.05149999999999636,1680,0.15659999999999855,0.010200000000004365,967877069,HR05,0.4,28,1.4499999999999997
TIME_EXIT,0.05510000000000218,1680,0.13779999999999745,0.015050000000001092,967905556,HR05,0.4,28,1.3199999999999998
TIME_EXIT,0.055900000000001455,1680,0.06244999999999891,0.03234999999999673,967972097,HR05,0.4,28,0.9799999999999999
TIME_EXIT,-0.08479999999999564,1680,0.055950000000002546,0.09354999999999564,967994495,HR05,0.4,28,1.0699999999999998
TIME_EXIT,-0.10614999999999782,1680,0.035050000000001094,0.13979999999999565,968011656,HR05,0.4,28,0.6
